key,name,system,energy_TeV,centrality,observable,x,xlow,xhigh,y,stat_minus,stat_plus,sys_minus,sys_plus,source_row,table_doi
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.175,0.15,0.2,0.188494,6.4706e-05,6.4706e-05,0.011879,0.011879,0,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.225,0.2,0.25,0.19801,4.2182e-05,4.2182e-05,0.0094435,0.0094435,1,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.275,0.25,0.3,0.207792,4.0361e-05,4.0361e-05,0.0086348,0.0086348,2,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.32499999999999996,0.3,0.35,0.219327,4.1341e-05,4.1341e-05,0.0067666,0.0067666,3,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.375,0.35,0.4,0.231176,4.3767e-05,4.3767e-05,0.0058425,0.0058425,4,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.42500000000000004,0.4,0.45,0.243387,4.7196e-05,4.7196e-05,0.0058837,0.0058837,5,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.475,0.45,0.5,0.255471,5.2508e-05,5.2508e-05,0.0061665,0.0061665,6,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.525,0.5,0.55,0.267528,5.9421e-05,5.9421e-05,0.0063514,0.0063514,7,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.575,0.55,0.6,0.279677,6.6739e-05,6.6739e-05,0.0062022,0.0062022,8,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.625,0.6,0.65,0.291486,7.5142e-05,7.5142e-05,0.0064125,0.0064125,9,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.675,0.65,0.7,0.302886,8.4738e-05,8.4738e-05,0.006397,0.006397,10,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,0.725,0.7,0.75,0.314375,9.4574e-05,9.4574e-05,0.0064142,0.0064142,11,10.17182/hepdata.86210.v1/t8
